Grant Name,Funding Organization,Country/Region,Eligibility Criteria,Focus Areas,Grant Amount,Application Deadline,Duration,Website Link
Council of Europe IDPs and Returnees Grant,Council of Europe,Europe/International,Non-governmental organizations working with IDPs and returnees,Facilitating access to human rights and essential services for IDPs and returnees,Not specified,"March 5, 2025","April 7, 2025 - September 30, 2025",Call for Proposals:https://www.coe.int/en/web/kyiv/-/call-for-proposals-from-the-council-of-europe-for-civil-society-organizations-deadline-march-5-2025-
Eastern Partnership Civil Society Fellowship 2025,European Union,EU/Eastern Partnership,Civil society activists or civic-minded individuals from Ukraine and other EaP countries,"Resilient economies, rule of law, environmental resilience, digitalization, participatory decision-making","Up to €5,000","May 31, 2025",12 months,Fellowship Call:https://eapcivilsociety.eu/fellowships-2
House of Europe International Cooperation Grants,European Union,EU/Ukraine,Public non-profit organizations in culture and creative industries from Ukraine and EU,"Cultural exchanges, collaborative projects between Ukrainian and EU organizations",Not specified,Twice annually (Spring/Autumn 2025),Project-based,International Cooperation Grants:https://houseofeurope.org.ua/en/grant/international-cooperation-grants
Japan Grant Assistance for Human Security Projects (KUSANONE),Government of Japan,Japan,Ukrainian NGOs and civil society organizations,Basic Human Needs sectors at grassroots level,Not specified,"February 28, 2025",Projects to be implemented in 2026,KUSANONE Program:https://www.ua.emb-japan.go.jp/itpr_en/en_oda.html
Democracy Commission Small Grants Program,U.S. Embassy in Ukraine,United States,Ukrainian non-governmental organizations registered in accordance with Ukrainian law,"Veterans rights, human rights protection, civic education, youth engagement and leadership","$25,000 - $50,000","June 7, 2024",5-12 months,Democracy Commission Small Grants Program:https://ua.usembassy.gov/education-culture/grants-opportunities/democracy-commission-small-grants-program/
European Endowment for Democracy Grants,European Endowment for Democracy (EED),EU/European Neighbourhood,"Civil society organizations, pro-democracy movements, civic and political activists, independent media (including newly created or non-registered organizations)","Democracy promotion, human rights, civil society development",Varies by project,Rolling basis (no fixed deadline),Project-dependent,EED Support Page:https://www.democracyendowment.eu/en/we-support.html
GMF HOPE Fund for Ukraine,German Marshall Fund,United States/Germany,Ukrainian civil society organizations and activists,"Emergency assistance, evacuation and relocation support for civil society grantees",Varies by need,Rolling basis (ongoing emergency support),Emergency/immediate support,GMF HOPE Fund for Ukraine:https://www.gmfus.org/impact/gmf-hope-fund-ukraine
SI Ukraine Cooperation Programme,Swedish Institute,Sweden,"Swedish entities with Ukrainian partners (universities, NGOs, government agencies, companies)","Ukraine reconstruction, reform efforts, EU integration, economic development, human rights, democracy","SEK 100,000 - 3,000,000 (varies by project type)","May 7, 2025",6-24 months (varies by project type),SI Ukraine Cooperation Programme:https://si.se/en/apply/funding-grants/si-ukraine-cooperation-programme-2/
Ukraine Partnership Facility (UPF),Netherlands Enterprise Agency (RVO),Netherlands,Dutch companies or civil society organizations in partnership with Ukrainian entities,Ukraine reconstruction and recovery across various sectors,"€500,000 - €4,000,000",Rolling basis (2023-2027 program),Project-dependent,Ukraine Partnership Facility (UPF):https://english.rvo.nl/subsidies-financing/upf
French Civil Aid Fund for Ukraine,French Ministry of Economy and Finance,France,Ukrainian civil society organizations and local government bodies,"Critical infrastructure, energy, transport, water, health sectors, mine clearance",Portion of €200 million fund,Rolling basis (through 2027),Project-dependent,Fonds Ukraine – Critical Infrastructure:https://www.tresor.economie.gouv.fr/Articles/2024/06/14/fonds-ukraine-financement-de-projets-de-reconstruction-des-infrastructures-critiques-ukrainiennes
Ukraine Solidarity Fund,Stefan Batory Foundation,Poland,Civil society organizations working with Ukrainian refugees,"Refugee support, legal aid, integration activities, Roma refugee support, education support","Up to PLN 187,300 (varies by project)",Varies by call,Project-dependent,Ukraine Solidarity Fund:https://www.batory.org.pl/en/grants/ukraine-solidarity-fund/
Czech Embassy Transition Promotion Program,Embassy of Czech Republic in Ukraine,Czech Republic,Ukrainian non-profit civil society organizations with a bank account in local currency,"Democracy support, transparency, human rights protection, environmental protection","UAH 500,000 - 1,600,000",Annual call (Check embassy website for current deadlines),Typically 6-8 months,Transition Promotion Program Page:https://www.mzv.cz/kiev/uk/x2010_05_17/x2010_08_20_1/x2019_09_24/ransition_promotion_program_in_ukraine.html
Civil Society Sectoral Support Activity,USAID Ukraine,United States,Ukrainian NGOs with experience in civil society development,"Strengthening civil society capacity, advocacy, democratic governance","Up to $10,000,000 total program",Check USAID website for current calls,Five-year program,USAID CS Sectoral Support Activity:https://www.highergov.com/grant-opportunity/ukraine-civil-society-sectoral-support-activity-316474/
Canada Fund for Local Initiatives (CFLI),Global Affairs Canada,Canada,"Local NGOs, community organizations, academic institutions, and government institutions working on local projects","Peace Formula implementation, Women, Peace & Security, veterans support, Ukrainian identity and social cohesion","CAD $30,000 - $50,000","July 14, 2024 (check for annual calls)",Until March 2025,Canada Fund for Local Initiatives (CFLI):https://www.international.gc.ca/world-monde/funding-financement/cfli-fcil/2024/ukraine.aspx?lang=eng
