Grant Name,Funding Organization,Country/Region,Eligibility Criteria,Focus Areas,Grant Amount,Application Deadline,Duration,Website Link
"Annual/Regular Cycles: Many established programs operate on annual or other regular cycles. The National Endowment for Democracy (NED) has quarterly proposal submission deadlines.23 The British Council's ""Connections Through Culture"" appears to be an annual program.34",,,,,,,,
"Rolling Applications: A number of funders accept applications on a rolling basis, meaning there is no fixed deadline, and proposals are reviewed as they are received or in periodic batches. The German Marshall Fund's U3R program operates this way, with reviews every 6",,,,,,,,
Application Deadline: The cut,,,,,,"The cut-off date for submissions. Note ""Rolling"" for continuous applications.",The typical or maximum length of the funded project.,A direct URL to the grant announcement or funder's portal.
"Status as of June 7, 2025: Expired. (Application Deadline: March 5, 2025 15).",,,,,,"May 31, 2025 36).",,
3. House of Europe International Cooperation Grants,,,,,,,,
"Status as of June 7, 2025: Active Potential (Autumn 2025 Call). The program has biannual calls (Spring/Autumn).20 The Spring 2025 call deadline has likely passed. The Autumn 2025 call is anticipated.",,,,,,,,
4. EU Civil Society Organizations Call 2025,,,,,,,,
5. Civil Society Innovations for Open Government Grants,,,,,,,,
"Status as of June 7, 2025: Expired. (Application Deadline: April 10, 2025 22).",,,,,,"April 10, 2025 22).",,
House of Europe International Cooperation Grants (Autumn 2025 Call),,,,,,,,
