Grant Name,Funding Organization,Country/Region,Eligibility Criteria,Focus Areas,Grant Amount,Application Deadline,Duration,Website Link
Council of Europe IDPs and Returnees Grant,Council of Europe,Europe/International,Non-governmental organizations working with IDPs and returnees,Facilitating access to human rights and essential services for IDPs and returnees,Not specified,March 5 2025,April 7 2025 - September 30 2025,Call for Proposals:https://www.coe.int/en/web/kyiv/-/call-for-proposals-from-the-council-of-europe-for-civil-society-organizations-deadline-march-5-2025-
Eastern Partnership Civil Society Fellowship 2025,European Union,EU/Eastern Partnership,Civil society activists or civic-minded individuals from Ukraine and other EaP countries,"Resilient economies, rule of law, environmental resilience, digitalization, participatory decision-making",Up to €5000,May 31 2025,12 months,Fellowship Call:https://eapcivilsociety.eu/fellowships-2
House of Europe International Cooperation Grants,European Union,EU/Ukraine,Public non-profit organizations in culture and creative industries from Ukraine and EU,"Cultural exchanges, collaborative projects between Ukrainian and EU organizations",Not specified,Twice annually (Spring/Autumn 2025),Project-based,International Cooperation Grants:https://houseofeurope.org.ua/en/grant/international-cooperation-grants
EU Civil Society Organizations Call 2025,European Union,EU/Ukraine,Civil society organizations registered in Ukraine,"Gender leadership and conflict, human rights, democratic development, governance",€14 million total (€5 million for gender focus),May 2025,Varies,EU Funding Portal:https://eu4ukraine.eu/en/opportunities-en/eu-funding-opportunities-for-cso-project.html
Civil Society Innovations for Open Government Grants,Open Government Partnership,International,"CSOs in Armenia, Georgia, Moldova and Ukraine","Anti-corruption, accountability, open government, civic space, public participation reforms",Not specified,April 10 2025,Maximum 12 months (complete by May 31 2026),OGP Call:https://www.opengovpartnership.org/eu-for-integrity-programme-for-the-eastern-partnership/call-for-proposals-eap-civil-society-innovations-for-open-government-grants/
Women's Peace & Humanitarian Fund Ukraine,UN Women,International,Local women-led organizations and CSOs working on gender equality,"Protection of women and girls, women's participation and leadership in humanitarian response",Not specified,February 12 2025,Varies,WPHF Fund:https://wphfund.org/calls-for-proposals/
Challenge Facility for Civil Society,Stop TB Partnership,International,Civil society and TB-affected community partners,"TB response, people-centered and human-rights-based national TB programs",$19 million total,February 14 2025,Varies,CFCS Call:https://www.stoptb.org/global-awards/challenge-facility-civil-society-cfcs
Visegrad+ Grants 2025,Visegrad Fund,International,CSOs from V4 countries working with Western Balkans and Eastern Partnership,"Democratization, transformation processes, civil society cooperation","€20,000-€60,000",February 1 2025,Up to 18 months,Visegrad+ Grants:https://www.visegradfund.org/apply/grants/visegrad-plus-grants/
Prosperous Future Programme Round 3,Nordic Council of Ministers,Nordic-Baltic region,Civil society organisations in Nordic-Baltic region including partnerships with Ukraine,"Democratic participation, human rights, sustainable development",Not specified,February 19 2025,Project-based,Nordic Programme:https://www.norden.org/en/funding-opportunities
UK Small Projects Fund 2025-2026,British Embassy Kyiv,UK/Ukraine,"Ukrainian NGOs, civil society organizations, think tanks","Social recovery, human rights promotion, climate security, reintegration of occupied territories","£20,000-£75,000",Rolling deadline,Until March 15 2026,UK SPF:https://www.gov.uk/government/news/call-for-proposals-under-ukraine-small-projects-fund-2025-2026
UNDP Civil Society and Youth Support,UNDP/Denmark,International/Ukraine,Ukrainian CSOs registered for at least 2 years,"Resilience building, sustainable recovery, youth engagement, democratic development",Not specified,December 26 2024,Varies,CSYP Call:https://www.undp.org/ukraine/news/call-participation-competition-supporting-ukraines-resilience-through-civil-society-and-youth-participation-sustainable-recovery
EU4CSOs Emergency Actions Grants,EU/Network 100 percent life Rivne,EU/Ukraine,Ukrainian CSOs registered as non-profit with specific codes,"Emergency response, humanitarian aid, civil society support during war",Up to €10000,29th of each month,Project-based,Emergency Actions:https://houseofeurope.org.ua/en/opportunity/353
Swedish-Norwegian Civil Society Resilience Project,SIDA/NORAD,Sweden/Norway/Ukraine,Ukrainian civil society organizations,"Resilience building, recovery, EU accession support, democratic governance",Part of €44 million package,January 25 2025,Three years,IRF Project:https://www.irf.ua/en/
GIZ Civil Society Partnership Fund,GIZ/German Government,Germany/Ukraine,Ukrainian CSOs and municipalities,"Economic recovery, infrastructure rehabilitation, business support",Up to €800000 per location,Varies,Project-based,GIZ Ukraine:https://www.giz.de/en/worldwide/302.html
EU4Youth Grants for Youth Organizations,EU/GIZ,EU/Germany/Ukraine,Youth organizations in Eastern Partnership countries,"Climate change, inclusion, youth participation, recovery of Ukraine",Up to €15000,Varies by country,Project-based,EU4Youth:https://euneighbourseast.eu/opportunities/eu4youth-new-funding-opportunity-for-youth-organisations-in-the-eastern-partner-countries/
Switzerland SDC Winter Support Package,Swiss Agency for Development and Cooperation,Switzerland/Ukraine,Ukrainian CSOs and local organizations,"Winter aid, infrastructure repair, emergency shelter, health services",CHF 45 million total,Rolling basis,Winter 2024-2025,SDC Ukraine:https://www.eda.admin.ch/deza/en/home/countries/ukraine.html
National Endowment for Democracy Grants,National Endowment for Democracy,USA/International,Ukrainian NGOs and civil society organizations,"Democracy promotion, human rights, independent media, anti-corruption",Varies by project,Multiple deadlines annually,Typically 12 months,NED Grants:https://www.ned.org/apply-for-grant/en/
